Name,Description,Short Description,Product Status,Permalink,Categories,Tags,SKU,Sale Price,Visibility,Stock Status,Price,Regular Price,Total Sales,Downloadable,Virtual,Purchase Note,Weight,Length,Width,Height,Sold Individually,Manage Stock,Stock,Backorders,Featured,Tax Status,Tax Class,Images,Download Limit,Download Expiry,File Path,Product URL,Product Type,Shipping Class,Comment Status,Ping Status
Vintage ride,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/vintage-ride/,Gadgets,outdoors|shirts,6087210,,visible,instock,280,280,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-vintage-bike.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Vintage bike,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/vintage-bike/,Skateboards,baseball|sports,6087210,,visible,instock,280,280,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-vintage-bike.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Surfboard,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/surfboard/,Helmets,gifts|skating,6087210,,visible,instock,110,110,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-skateboard-2.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Sports cap,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/sports-cap/,Accessories,sports|tattoos,6087210,,visible,instock,30,30,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-baseball-cap.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Sleveless tee,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/sleveless-tee/,Accessories,accessories|shirts,6087210,,visible,instock,180,180,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-cotton-shirt.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Skateboard graphic,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/skateboard-graphic/,Helmets,gifts|skating,6087210,,visible,instock,100,100,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-biker-tattoo.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Scooter,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/scooter/,Skateboards,accessories|sports,6087210,,visible,instock,300,300,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
PHP Travel Portal,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/t-shirt/,Bicycles,shirts|tattoos,6087210,,visible,instock,300,300,,no,no,,15,20,30,20,,no,,no,yes,,,http://localhost/wpe/wp-content/uploads/2016/07/2.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
PHP Social Network Script,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/skate-helmet/,Bicycles,gifts|outdoors,6087210,,visible,instock,280,280,,no,no,,15,20,30,20,,no,,no,yes,,,http://localhost/wpe/wp-content/uploads/2016/07/Modern-Graphic-Designer-Essentials-1170x780.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
PHP Dating Script,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Pricing our products is never easy. The market changes so quickly that, although we try hard, we repeatedly risk to…",publish,http://localhost/wpe/product/skateboard/,Bicycles,accessories|baseball,6087210,,visible,instock,250,250,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/2.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
Metallic wheel,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/metallic-wheel/,Clothing,accessories|tattoos,6087210,110,visible,instock,110,149,,no,no,,15,20,30,20,,no,,no,yes,,,http://localhost/wpe/wp-content/uploads/2016/07/marketica-dummy-54.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
