Name,Description,Short Description,Product Status,Permalink,Categories,Tags,SKU,Sale Price,Visibility,Stock Status,Price,Regular Price,Total Sales,Downloadable,Virtual,Purchase Note,Weight,Length,Width,Height,Sold Individually,Manage Stock,Stock,Backorders,Featured,Tax Status,Tax Class,Images,Download Limit,Download Expiry,File Path,Product URL,Product Type,Shipping Class,Comment Status,Ping Status
Metal wheel,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/metal-wheel/,Clothing,accessories|tattoos,6087210,110,visible,instock,110,149,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/marketica-dummy-56.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
Longboard,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/longboard/,Clothing,gifts|skating,6087210,,visible,instock,30,30,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Kids’ skateboard,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/kids-skateboard/,Helmets,gifts|skating,6087210,,visible,instock,100,100,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-skateboard.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Kids’ board,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/kids-board/,Clothing,gifts|skating,6087210,,visible,instock,30,30,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Helmet,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/helmet/,Skateboards,gifts|skating,6087210,,visible,instock,280,280,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-skate-helmet.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Grey shirt,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/grey-shirt/,Skateboards,gifts|skating,6087210,,visible,instock,300,300,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-tshirt.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Cruiser board,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/cruiser-board/,Accessories,baseball|outdoors,6087210,,visible,instock,110,110,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-skateboard-2.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Cotton shirt,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/cotton-shirt/,Helmets,gifts|skating,6087210,180,visible,instock,180,220,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/marketica-dummy-54.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg,,,,,,,open,closed
Black scooter,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/black-scooter/,Gadgets,baseball|outdoors,6087210,,visible,instock,300,300,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Black helmet,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/black-helmet/,Bicycles,gifts|outdoors,6087210,,visible,instock,280,280,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-skate-helmet.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Biker tattoo,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/biker-tattoo/,Clothing,outdoors|shirts,6087210,,visible,instock,100,100,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-biker-tattoo.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Bicycle,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/bicycle/,Clothing,skating|sports,6087210,,visible,instock,180,180,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-bicycle.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
Baseball cap,"Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil expetendis in mei. Mei an id pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem nihil tincidunt vix at, vel pertinax sensibus id, error epicurei mea et. Mea facilisis urbanitas moderatius id. Alienum phaedrum torquatos nec eu, vis detraxit periculis ex, nihil error expetendis in mei. Mei an pericula euripidis, hinc an partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Tied an hinc pericula euripidis, hinc partem ei est. Eos ei nisl graecis, vix aperiri consequat an. Eius lorem at, tincidunt vix at, vel pertinax sensibus id, error epicurei mea et.","Proin eget congue leo, vitae laoreet quam. Aenean fringilla vulputate mauris tristique malesuada. Proin ullamcorper augue ac enim posuere vulputate. In eleifend mattis est, eu vulputate metus porttitor sit amet. Phasellus tincidunt tempor mauris, vitae dignissim neque luctus non. Nulla facilisi. Quisque vestibulum posuere nunc ut molestie. Nam varius leo vitae.",publish,http://localhost/wpe/product/baseball-cap/,Helmets,baseball|tattoos,6087210,,visible,instock,30,30,,no,no,,15,20,30,20,,no,,no,no,,,http://localhost/wpe/wp-content/uploads/2016/07/p-baseball-cap.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery.jpg|http://localhost/wpe/wp-content/uploads/2016/07/p-gallery-2.jpg|http://localhost/wpe/wp-content/uploads/,,,,,,,open,closed
